valid_CUTs,average1,average2,p_values,a12,a12_estimate
help.js,0.5,0.5,0.16748875557485465,0.4,small
option.js,0.5,0.5,0.3277123308533803,0.385,small
suggestSimilar.js,0.71875,0.71875,0.16748875557485465,0.6,small
query.js,0.6666666666666666,0.6666666666666666,NA,0.5,negligible
request.js,0.32608695652173914,0.32608695652173914,1,0.5,negligible
response.js,0.1956521739130435,0.1766304347826087,7.426199453123173e-4,0.055,large
utils.js,0.42391304347826086,0.41304347826086957,0.6933763617576532,0.45,negligible
view.js,0.375,0.375,0.5827782179740376,0.55,negligible
articulationPoints.js,0,0,NA,0.5,negligible
bellmanFord.js,0,0,NA,0.5,negligible
bfTravellingSalesman.js,0,0,NA,0.5,negligible
breadthFirstSearch.js,0.1875,0.1875,1,0.5,negligible
depthFirstSearch.js,0,0,1,0.5,negligible
detectDirectedCycle.js,0,0,NA,0.5,negligible
detectUndirectedCycle.js,0,0,NA,0.5,negligible
eulerianPath.js,0,0,NA,0.5,negligible
floydWarshall.js,0,0,NA,0.5,negligible
hamiltonianCycle.js,0,0,NA,0.5,negligible
kruskal.js,0.2,0.2,NA,0.5,negligible
prim.js,0.16666666666666666,0.16666666666666666,NA,0.5,negligible
stronglyConnectedComponents.js,0,0,NA,0.5,negligible
Knapsack.js,0.575,0.575,NA,0.5,negligible
KnapsackItem.js,0.5,0.5,NA,0.5,negligible
Matrix.js,0.07894736842105263,0.07894736842105263,NA,0.5,negligible
CountingSort.js,0.5714285714285714,0.5714285714285714,1,0.5,negligible
RedBlackTree.js,0.29411764705882354,0.29411764705882354,NA,0.5,negligible
equalArrays.js,0.8333333333333334,0.8333333333333334,0.368120250693519,0.55,negligible
hasPath.js,1,1,NA,0.5,negligible
random.js,1,1,0.16807831903497034,0.4,small
result.js,0.8,0.8,0.16748875557485465,0.4,small
slice.js,1,1,NA,0.5,negligible
split.js,0.875,0.875,NA,0.5,negligible
toNumber.js,0.65,0.65,NA,0.5,negligible
transform.js,0.9166666666666666,0.9166666666666666,1,0.505,negligible
truncate.js,0.5588235294117647,0.5588235294117647,0.5827782179740376,0.45,negligible
unzip.js,1,1,0.368120250693519,0.55,negligible
