valid_CUTs,average1,average2,p_values,a12,a12_estimate
help.js,0.25757575757575757,0.5,1.065097146246261e-4,1,large
option.js,0.3888888888888889,0.5,0.013080582276630774,0.815,large
suggestSimilar.js,0.625,0.71875,5.5941681768311475e-5,1,large
query.js,0.6666666666666666,0.6666666666666666,NA,0.5,negligible
request.js,0.30434782608695654,0.32608695652173914,6.885406152983074e-4,0.915,large
response.js,0.10869565217391304,0.1766304347826087,1.5027569885790469e-4,1,large
utils.js,0.2391304347826087,0.41304347826086957,8.227298920132644e-5,1,large
view.js,0.375,0.375,0.16748875557485465,0.6,small
articulationPoints.js,0,0,NA,0.5,negligible
bellmanFord.js,0,0,NA,0.5,negligible
bfTravellingSalesman.js,0,0,NA,0.5,negligible
breadthFirstSearch.js,0.1875,0.1875,1,0.5,negligible
depthFirstSearch.js,0,0,0.68089429484237,0.55,negligible
detectDirectedCycle.js,0,0,NA,0.5,negligible
detectUndirectedCycle.js,0,0,NA,0.5,negligible
eulerianPath.js,0,0,NA,0.5,negligible
floydWarshall.js,0,0,NA,0.5,negligible
hamiltonianCycle.js,0,0,NA,0.5,negligible
kruskal.js,0.2,0.2,NA,0.5,negligible
prim.js,0.16666666666666666,0.16666666666666666,NA,0.5,negligible
stronglyConnectedComponents.js,0,0,NA,0.5,negligible
Knapsack.js,0.575,0.575,0.03442381432538878,0.7,medium
KnapsackItem.js,0.5,0.5,NA,0.5,negligible
Matrix.js,0.06578947368421052,0.07894736842105263,0.014606942120216149,0.75,large
CountingSort.js,0.5714285714285714,0.5714285714285714,0.368120250693519,0.45,negligible
RedBlackTree.js,0.14705882352941177,0.29411764705882354,5.4698641633797245e-5,1,large
equalArrays.js,0.7083333333333334,0.8333333333333334,5.3074584364790613e-5,1,large
hasPath.js,1,1,NA,0.5,negligible
random.js,0.8571428571428571,1,1.6118586985603735e-4,0.955,large
result.js,0.8,0.8,NA,0.5,negligible
slice.js,0.85,1,4.138541762252319e-5,1,large
split.js,0.875,0.875,NA,0.5,negligible
toNumber.js,0.55,0.65,2.428174732475479e-5,1,large
transform.js,0.75,0.9166666666666666,0.05521547875808112,0.745,large
truncate.js,0.4411764705882353,0.5588235294117647,2.428174732475479e-5,1,large
unzip.js,1,1,0.16807831903497034,0.6,small
